0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,30.0000,31.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,41.0000,42.0000,43.0000,44.0000,45.0000,46.0000,47.0000,48.0000,49.0000,50.0000,51.0000,52.0000,53.0000,54.0000,55.0000,56.0000,57.0000,58.0000,59.0000
0.0001,0.0001,0.0001,0.0000,0.0000,-0.0000,-0.0000,-0.0001,-0.0001,-0.0001,-0.0002,-0.0023,-0.0054,-0.0058,-0.0011,-0.0018,-0.0016,-0.0026,-0.0034,-0.0019,-0.0030,-0.0020,-0.0015,-0.0012,-0.0016,-0.0019,-0.0015,-0.0012,-0.0011,-0.0010,-0.0009,-0.0007,-0.0003,-0.0001,0.0003,0.0006,0.0009,0.0012,0.0013,0.0019,0.0021,0.0021,0.0029,0.0029,0.0029,0.0029,0.0028,0.0028,0.0018,0.0019,0.0019,0.0019,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.0017,0.0019
-0.0004,-0.0004,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,-0.0001,0.0000,0.0002,0.0003,0.0005,0.0001,-0.0003,-0.0005,-0.0008,-0.0007,-0.0006,-0.0012,-0.0011,0.0004,0.0015,0.0008,-0.0004,-0.0007,0.0006,0.0042,0.0041,0.0029,0.0030,0.0032,0.0033,0.0035,0.0033,0.0034,0.0032,0.0035,0.0038,0.0046,0.0048,0.0046,0.0046,0.0043,0.0041,0.0042,0.0043,0.0044,0.0044,0.0043,0.0043,0.0043,0.0042,0.0042,0.0041,0.0040,0.0040,0.0040,0.0040,0.0039
0.0499,0.0510,0.0522,0.0533,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0543,0.0543,0.0544,0.0543,0.0542,0.0541,0.0542,0.0544,0.0544,0.0544,0.0543,0.0543,0.0544,0.0544,0.0544,0.0544,0.0542,0.0542,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0543,0.0542,0.0543,0.0543,0.0543,0.0543,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544
0.0390,0.0390,0.0389,0.0389,0.0389,0.0388,0.0388,0.0388,0.0388,0.0388,0.0387,0.0383,0.0379,0.0372,0.0380,0.0379,0.0379,0.0372,0.0373,0.0372,0.0368,0.0370,0.0372,0.0367,0.0367,0.0366,0.0370,0.0376,0.0379,0.0380,0.0382,0.0384,0.0382,0.0385,0.0388,0.0391,0.0394,0.0397,0.0403,0.0409,0.0411,0.0409,0.0405,0.0405,0.0404,0.0403,0.0421,0.0442,0.0466,0.0487,0.0487,0.0487,0.0487,0.0487,0.0486,0.0487,0.0468,0.0449,0.0429,0.0411
-0.0003,-0.0003,-0.0002,-0.0002,-0.0000,0.0000,0.0001,0.0002,0.0004,0.0007,0.0011,0.0009,0.0008,0.0008,0.0006,0.0004,0.0002,-0.0001,-0.0006,-0.0009,-0.0011,-0.0008,-0.0006,-0.0003,-0.0004,-0.0003,0.0001,0.0005,0.0020,0.0029,0.0029,0.0031,0.0036,0.0038,0.0039,0.0042,0.0043,0.0044,0.0049,0.0054,0.0057,0.0051,0.0055,0.0052,0.0050,0.0048,0.0067,0.0083,0.0103,0.0122,0.0121,0.0120,0.0119,0.0118,0.0117,0.0116,0.0098,0.0076,0.0059,0.0040
0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0016,0.0026,0.0028,0.0010,0.0012,0.0010,0.0015,0.0017,0.0010,0.0013,0.0008,0.0007,0.0007,0.0008,0.0009,0.0009,0.0007,0.0008,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0009,0.0010,0.0010,0.0010,0.0010,0.0010,0.0020,0.0029,0.0040,0.0051,0.0050,0.0039,0.0027,0.0021,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0010,0.0010,0.0010,0.0011
0.0004,0.0003,0.0002,0.0001,0.0000,-0.0000,-0.0001,-0.0002,-0.0003,-0.0005,-0.0007,-0.0012,-0.0016,-0.0021,-0.0016,-0.0015,-0.0016,-0.0018,-0.0016,-0.0019,-0.0020,-0.0020,-0.0019,-0.0024,-0.0027,-0.0029,-0.0003,0.0027,0.0053,0.0071,0.0069,0.0065,0.0062,0.0061,0.0062,0.0063,0.0048,0.0027,0.0017,0.0000,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.0009
0.0405,0.0405,0.0405,0.0405,0.0406,0.0406,0.0406,0.0407,0.0408,0.0409,0.0411,0.0410,0.0409,0.0406,0.0403,0.0401,0.0399,0.0398,0.0396,0.0394,0.0394,0.0398,0.0400,0.0401,0.0399,0.0399,0.0424,0.0455,0.0485,0.0516,0.0517,0.0518,0.0517,0.0517,0.0516,0.0517,0.0499,0.0481,0.0466,0.0450,0.0449,0.0449,0.0448,0.0447,0.0447,0.0447,0.0447,0.0446,0.0445,0.0445,0.0445,0.0444,0.0444,0.0443,0.0443,0.0442,0.0441,0.0440,0.0440,0.0439
0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013,0.0013,0.0014,0.0014,0.0012,0.0012,0.0013,0.0011,0.0010,0.0010,0.0011,0.0012,0.0013,0.0012,0.0018,0.0025,0.0041,0.0056,0.0057,0.0043,0.0021,0.0015,0.0015,0.0014,0.0012,0.0011,0.0010,0.0011,0.0011,0.0011,0.0010,0.0011,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0009
