0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,30.0000,31.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,41.0000,42.0000,43.0000,44.0000,45.0000,46.0000,47.0000,48.0000,49.0000,50.0000,51.0000,52.0000,53.0000,54.0000
0.0001,0.0001,0.0001,0.0000,0.0000,-0.0000,-0.0000,-0.0001,-0.0001,-0.0001,-0.0002,0.0021,0.0018,0.0018,0.0017,0.0017,0.0016,0.0015,-0.0003,-0.0004,-0.0005,0.0011,0.0021,0.0036,0.0056,0.0063,0.0063,0.0064,0.0061,0.0061,0.0060,0.0056,0.0056,0.0058,0.0061,0.0062,0.0061,0.0061,0.0061,0.0059,0.0061,0.0039,0.0017,-0.0038,-0.0097,-0.0098,-0.0094,-0.0085,-0.0076,-0.0066,-0.0072,-0.0062,-0.0026,-0.0002,0.0013
-0.0004,-0.0004,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,-0.0001,0.0000,0.0002,-0.0005,-0.0006,-0.0004,-0.0004,-0.0005,-0.0005,-0.0005,-0.0003,-0.0003,-0.0004,0.0038,0.0081,0.0063,0.0044,0.0018,-0.0006,-0.0006,0.0010,0.0017,-0.0001,-0.0031,-0.0069,-0.0128,-0.0229,-0.0229,-0.0187,-0.0130,-0.0042,0.0008,-0.0014,-0.0034,-0.0039,-0.0041,-0.0042,-0.0008,-0.0008,-0.0009,-0.0013,-0.0010,-0.0013,-0.0012,-0.0022,-0.0016,-0.0014
0.0499,0.0510,0.0522,0.0533,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543,0.0544,0.0544,0.0544,0.0548,0.0552,0.0555,0.0559,0.0559,0.0560,0.0559,0.0558,0.0559,0.0559,0.0560,0.0562,0.0562,0.0559,0.0560,0.0563,0.0564,0.0561,0.0561,0.0561,0.0554,0.0544,0.0544,0.0545,0.0544,0.0545,0.0545,0.0545,0.0549,0.0549,0.0550,0.0547,0.0545,0.0545
0.0390,0.0390,0.0389,0.0389,0.0389,0.0388,0.0388,0.0388,0.0388,0.0388,0.0387,0.0392,0.0392,0.0389,0.0388,0.0388,0.0414,0.0442,0.0467,0.0492,0.0492,0.0468,0.0446,0.0420,0.0394,0.0396,0.0397,0.0400,0.0398,0.0397,0.0396,0.0396,0.0395,0.0397,0.0400,0.0397,0.0395,0.0394,0.0393,0.0392,0.0393,0.0399,0.0408,0.0407,0.0403,0.0396,0.0380,0.0362,0.0342,0.0324,0.0322,0.0336,0.0357,0.0381,0.0396
-0.0003,-0.0003,-0.0002,-0.0002,-0.0000,0.0000,0.0001,0.0002,0.0004,0.0007,0.0011,0.0008,0.0008,0.0009,0.0009,0.0009,0.0008,0.0008,0.0004,0.0007,0.0007,0.0008,0.0014,0.0006,-0.0000,-0.0003,-0.0003,-0.0001,0.0004,0.0004,0.0001,-0.0002,-0.0007,-0.0015,-0.0037,-0.0046,-0.0054,-0.0053,-0.0041,-0.0019,-0.0024,-0.0018,-0.0022,-0.0005,0.0046,0.0104,0.0098,0.0086,0.0072,0.0062,0.0056,0.0048,0.0048,0.0048,0.0055
0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0013,0.0025,0.0038,0.0049,0.0049,0.0037,0.0025,0.0020,0.0009,0.0009,0.0009,0.0012,0.0012,0.0012,0.0010,0.0010,0.0010,0.0009,0.0010,0.0010,0.0012,0.0014,0.0018,0.0025,0.0023,0.0020,0.0015,0.0010,0.0011,0.0010,0.0010,0.0010,0.0036,0.0064,0.0061,0.0052,0.0039,0.0026,0.0019,0.0020,0.0022,0.0014,0.0010,0.0009
0.0004,0.0003,0.0002,0.0001,0.0000,-0.0000,-0.0001,-0.0002,-0.0003,-0.0005,-0.0007,-0.0005,-0.0006,-0.0008,-0.0007,-0.0007,-0.0007,-0.0007,-0.0008,-0.0007,-0.0006,-0.0006,-0.0002,0.0007,0.0012,0.0014,0.0040,0.0064,0.0086,0.0113,0.0112,0.0082,0.0054,0.0029,0.0000,-0.0005,-0.0004,-0.0001,0.0000,-0.0005,-0.0002,-0.0001,0.0004,-0.0009,-0.0048,-0.0071,-0.0088,-0.0103,-0.0121,-0.0138,-0.0139,-0.0118,-0.0095,-0.0074,-0.0063
0.0405,0.0405,0.0405,0.0405,0.0406,0.0406,0.0406,0.0407,0.0408,0.0409,0.0411,0.0409,0.0408,0.0406,0.0406,0.0406,0.0406,0.0406,0.0405,0.0406,0.0406,0.0409,0.0417,0.0414,0.0406,0.0400,0.0398,0.0400,0.0404,0.0406,0.0402,0.0397,0.0391,0.0379,0.0349,0.0337,0.0333,0.0340,0.0354,0.0374,0.0369,0.0373,0.0369,0.0370,0.0379,0.0410,0.0405,0.0396,0.0386,0.0379,0.0379,0.0380,0.0382,0.0384,0.0387
0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013,0.0013,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0014,0.0015,0.0018,0.0038,0.0057,0.0064,0.0061,0.0048,0.0030,0.0017,0.0023,0.0035,0.0051,0.0075,0.0113,0.0107,0.0085,0.0061,0.0028,0.0017,0.0024,0.0023,0.0013,0.0014,0.0020,0.0016,0.0015,0.0013,0.0011,0.0013,0.0013,0.0013,0.0016,0.0014,0.0014
