0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,30.0000,31.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000
0.0004,0.0008,0.0011,0.0016,0.0023,0.0023,0.0025,0.0028,0.0030,0.0037,0.0041,0.0040,0.0042,0.0044,0.0054,0.0058,0.0067,0.0068,0.0055,0.0051,0.0053,0.0057,0.0061,0.0064,0.0067,0.0068,0.0073,0.0073,0.0072,0.0073,0.0069,0.0074,0.0075,0.0078,0.0087,0.0100,0.0102,0.0125,0.0130,0.0123
-0.0003,-0.0000,0.0006,0.0013,0.0020,0.0027,0.0030,0.0034,0.0034,0.0036,0.0039,0.0042,0.0048,0.0050,0.0052,0.0065,0.0086,0.0102,0.0068,0.0060,0.0059,0.0065,0.0067,0.0071,0.0070,0.0066,0.0075,0.0073,0.0070,0.0070,0.0074,0.0077,0.0079,0.0082,0.0087,0.0088,0.0093,0.0096,0.0102,0.0104
0.0541,0.0543,0.0542,0.0543,0.0543,0.0539,0.0539,0.0538,0.0538,0.0541,0.0542,0.0542,0.0541,0.0541,0.0541,0.0541,0.0541,0.0542,0.0541,0.0541,0.0541,0.0542,0.0542,0.0542,0.0542,0.0542,0.0543,0.0543,0.0542,0.0542,0.0544,0.0544,0.0544,0.0544,0.0544,0.0542,0.0542,0.0542,0.0542,0.0541
0.0392,0.0393,0.0390,0.0392,0.0393,0.0385,0.0387,0.0385,0.0386,0.0387,0.0389,0.0390,0.0387,0.0388,0.0390,0.0390,0.0390,0.0383,0.0385,0.0384,0.0384,0.0382,0.0385,0.0382,0.0383,0.0381,0.0381,0.0381,0.0381,0.0379,0.0376,0.0376,0.0375,0.0373,0.0373,0.0386,0.0438,0.0463,0.0492,0.0513
-0.0000,-0.0000,0.0001,-0.0000,-0.0000,0.0009,0.0008,0.0007,0.0005,-0.0002,-0.0003,-0.0008,-0.0001,-0.0004,-0.0004,-0.0003,-0.0002,0.0011,0.0004,-0.0001,-0.0004,-0.0003,-0.0004,-0.0006,-0.0010,-0.0010,-0.0011,-0.0014,-0.0017,-0.0020,-0.0025,-0.0026,-0.0026,-0.0026,-0.0028,-0.0017,0.0010,0.0053,0.0086,0.0085
0.0009,0.0009,0.0009,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0010,0.0010,0.0011,0.0010,0.0011,0.0009,0.0008,0.0008,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0011,0.0011,0.0011,0.0011,0.0011,0.0029,0.0048,0.0046,0.0025,0.0009
0.0003,0.0001,0.0003,0.0001,-0.0004,-0.0009,-0.0010,-0.0011,-0.0013,-0.0012,-0.0015,-0.0016,-0.0016,-0.0016,-0.0015,-0.0008,0.0047,0.0054,0.0053,0.0127,0.0136,0.0136,0.0139,0.0142,0.0141,0.0142,0.0146,0.0146,0.0147,0.0148,0.0146,0.0147,0.0148,0.0147,0.0149,0.0148,0.0142,0.0137,0.0135,0.0142
0.0405,0.0406,0.0406,0.0407,0.0408,0.0404,0.0404,0.0402,0.0400,0.0397,0.0398,0.0398,0.0397,0.0398,0.0399,0.0409,0.0465,0.0477,0.0494,0.0544,0.0552,0.0548,0.0545,0.0545,0.0542,0.0542,0.0542,0.0541,0.0539,0.0535,0.0532,0.0532,0.0532,0.0531,0.0531,0.0528,0.0524,0.0521,0.0518,0.0510
0.0013,0.0014,0.0013,0.0013,0.0013,0.0010,0.0010,0.0009,0.0009,0.0012,0.0012,0.0012,0.0012,0.0011,0.0012,0.0033,0.0050,0.0048,0.0057,0.0040,0.0015,0.0014,0.0013,0.0013,0.0013,0.0016,0.0013,0.0013,0.0013,0.0013,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0013,0.0012,0.0012,0.0013
-0.0398,-0.0398,-0.0400,-0.0402,-0.0405,-0.0393,-0.0368,-0.0365,-0.0328,-0.0266,-0.0257,-0.0257,-0.0257,-0.0256,-0.0254,-0.0256,-0.0255,-0.0257,-0.0261,-0.0262,-0.0263,-0.0262,-0.0262,-0.0261,-0.0261,-0.0261,-0.0260,-0.0260,-0.0261,-0.0261,-0.0261,-0.0260,-0.0261,-0.0261,-0.0263,-0.0265,-0.0272,-0.0275,-0.0275,-0.0279
-0.0002,-0.0002,-0.0002,-0.0003,-0.0004,-0.0007,0.0017,0.0021,0.0080,0.0138,0.0146,0.0142,0.0143,0.0144,0.0142,0.0145,0.0145,0.0151,0.0153,0.0149,0.0148,0.0147,0.0147,0.0147,0.0146,0.0146,0.0147,0.0147,0.0147,0.0145,0.0143,0.0143,0.0143,0.0143,0.0144,0.0140,0.0138,0.0129,0.0125,0.0124
0.0013,0.0013,0.0013,0.0013,0.0014,0.0035,0.0056,0.0055,0.0050,0.0038,0.0014,0.0012,0.0012,0.0012,0.0012,0.0012,0.0014,0.0014,0.0012,0.0012,0.0012,0.0013,0.0013,0.0013,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0021,0.0019,0.0013
