Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40
0.0,2.280329226466938e-13,2.1591980276037747e-13,2.0356412271126556e-13,1.9088742894287628e-13,1.7780708274287451e-13,1.642050412429985e-13,1.3086583528972342e-13,1.3986618708526466e-13,1.2835174746539226e-13,1.1616152600717823e-13,1.0349115180095718e-13,9.046022718719126e-14,7.681695412315891e-14,6.166474107940003e-14,0.002288375491958707,0.004633062984243013,0.004060454022080113,0.005246709224559156,0.0014490677900482133,7.45765372313722e-14,8.862890381836984e-14,1.0323303250328711e-13,1.1617668382174276e-13,1.2861008074665668e-13,1.4067508403524665e-13,1.5243398131909057e-13,1.640234298942886e-13,1.746070136491295e-13,1.832013298025276e-13,1.9279560467807339e-13,2.0300707491440987e-13,2.1403428885808531e-13,2.308808777708793e-13,2.4191038857514774e-13,2.523947567589339e-13,2.630148869972449e-13,2.7417826967459553e-13,2.853094299348786e-13,0.0
0.0,2.3479385719061407e-13,2.2267800808464545e-13,2.1032156148816942e-13,1.9764061583454893e-13,1.8454623159358644e-13,1.702149945681134e-13,1.3558015253094117e-13,1.4467948595798327e-13,1.3300025536750414e-13,1.2073177738221387e-13,1.0804917141152755e-13,9.500619432737376e-14,8.134925363501402e-14,6.623560454145264e-14,0.002165353889046073,0.004375432501941839,0.0039043808492402288,0.00530573057029956,0.0019267717022998395,7.401978228815318e-14,8.829324803068692e-14,1.0309463280034375e-13,1.1610021146518494e-13,1.2855949491956192e-13,1.4061050246763916e-13,1.5234922970318996e-13,1.6384291002139472e-13,1.738884594313226e-13,1.8231732954492332e-13,1.9207397445386304e-13,2.0228426216829786e-13,2.1347411582683333e-13,2.3009507111566646e-13,2.4115725393441747e-13,2.515192801423885e-13,2.6191206215832677e-13,2.726610349717203e-13,2.8326086182370315e-13,0.0
0.0,2.9970852855638494e-8,2.9787483328097963e-8,-2.9861492437002763e-8,2.995407550697106e-8,2.9970672915156e-8,-1.87238262522299e-9,-5.412735643397623e-14,1.872338886935766e-9,-2.997067292086932e-8,-2.994940715140887e-8,2.981556725460499e-8,-2.9687776762019e-8,2.962082544019851e-8,-2.956822732682274e-8,0.01344570013836445,0.0049320575948347736,-0.00024057366997511014,-0.004595180862443279,-0.013541989471635731,2.107961839043152e-9,-2.095295828225219e-9,2.068739978048663e-9,-2.0277910552348754e-9,1.970979715844827e-9,-1.8970039354472034e-9,1.803849028743649e-9,-1.6895228305709546e-9,1.5513358986370083e-9,-1.3860286656825239e-9,1.1906219233166105e-9,-9.59442431856884e-10,6.859304726949313e-10,-3.5665520498390103e-10,-5.7741075366331286e-11,6.210186631457937e-10,-1.4845314181221079e-9,2.9188535585762566e-9,-2.9970702341381576e-8,0.0
0.0,8.153752802246087e-14,6.949063928667383e-14,5.709028714330181e-14,4.444509097561437e-14,0.0007832913329608158,0.004191053157093643,0.005586027760436458,0.005370083556583175,0.0017472137027632986,8.533582187812061e-14,1.047774401632636e-13,1.2467161257471594e-13,1.420385559026996e-13,1.5883017537021287e-13,1.747541308694176e-13,1.8998563525112304e-13,2.0556443794472246e-13,2.214917496318799e-13,2.3701346562417186e-13,2.520512780047535e-13,2.662159519478363e-13,2.7957349761887336e-13,2.923490354093188e-13,3.046834810752831e-13,3.167277993523583e-13,3.2853218663858587e-13,3.4037656029449495e-13,3.523133563979104e-13,3.624259425771209e-13,3.7070080180597947e-13,3.794313130427165e-13,3.894840188493641e-13,4.071627473823352e-13,4.1879286007341833e-13,4.292070079304444e-13,4.3974806539418643e-13,4.509005481257179e-13,4.620736089745845e-13,0.0
0.0,9.583275087307632e-14,8.378329900949483e-14,7.138310294417509e-14,5.877390245532272e-14,0.0011543814398839438,0.003193085110685743,0.004778692603329414,0.0064207157445933215,0.0021307946113783174,8.250485299424961e-14,1.0237210890205272e-13,1.2227628436707e-13,1.3959016690407047e-13,1.5635008779772452e-13,1.722909281685459e-13,1.8751840264800974e-13,2.0284944481682656e-13,2.184641688955541e-13,2.3388238155867607e-13,2.488477198360296e-13,2.629959857892096e-13,2.7633698572468193e-13,2.890967418365677e-13,3.0141645491657033e-13,3.1344579922382397e-13,3.252514744953651e-13,3.370676439035704e-13,3.4883450624708807e-13,3.587478153188633e-13,3.6696521328102754e-13,3.7566491386138065e-13,3.8561902312830633e-13,4.031834863748513e-13,4.1476936368911963e-13,4.250542132514944e-13,4.3535132804598665e-13,4.46071263616786e-13,4.567009812288059e-13,0.0
0.0,2.99706824712338e-8,3.373169319188937e-9,-4.65808674348845e-9,5.196533539370355e-9,0.01359693289281857,0.004883592315061998,-0.00021273573627371482,-0.00476682619780296,-0.013500966595494455,1.4467609803330501e-9,-1.446083675055037e-9,1.444817771853056e-9,-1.442698926943985e-9,1.4405240238784286e-9,-1.4369366198025502e-9,1.4310814894941958e-9,-1.4224798034463047e-9,1.4105546440556316e-9,-1.3946939149966227e-9,1.3734979426581091e-9,-1.3451657837732402e-9,1.3075976132832203e-9,-1.2592131859820862e-9,1.1979952054086781e-9,-1.1214948284052485e-9,1.0268206456418988e-9,-9.116069779627841e-10,7.720751012132386e-10,-6.049418621096689e-10,4.089060004458788e-10,-1.767259606490204e-10,-9.572837026561143e-11,4.22119025752915e-10,-8.302582698641281e-10,1.3840424914664914e-9,-2.2380050970988012e-9,3.6702961542861232e-9,-2.9970709072480504e-8,0.0
0.0,4.0349417113715764e-13,3.913860929486845e-13,3.790497116963502e-13,3.6637121478684594e-13,3.533052975875839e-13,3.392866268081666e-13,3.297253790546935e-13,3.1488939630144767e-13,3.0395115913652106e-13,2.91760524664094e-13,2.792100185947193e-13,2.6630963338077257e-13,2.5257005526541474e-13,2.363619752521812e-13,2.1608176186372212e-13,2.0151796110946488e-13,1.8875055326594563e-13,1.7556050595701277e-13,1.6320952266407805e-13,1.522981911465373e-13,1.3921818105325e-13,1.2332825261846392e-13,1.041916974958923e-13,8.610208360391626e-14,0.0026621352317646265,0.005546016268519667,0.0042428120858411834,0.003772246527400087,0.0014544593979736015,5.775279562413716e-14,6.693975555098185e-14,7.814749395268935e-14,9.326309347710222e-14,1.0386393328464654e-13,1.1428015771534337e-13,1.2487628100705522e-13,1.3604500817053103e-13,1.471207058889833e-13,0.0
0.0,4.0832127438549407e-13,3.9620917799762147e-13,3.8387082327270186e-13,3.711901397667919e-13,3.5810996523694335e-13,3.433647726346007e-13,3.330015763503344e-13,3.177718501839373e-13,3.066677135516013e-13,2.9439877042219593e-13,2.8183124101636935e-13,2.689023652089594e-13,2.5513790207814984e-13,2.389581743491183e-13,2.188389392027317e-13,2.0434673866589357e-13,1.9135928989154348e-13,1.779125548951027e-13,1.655090849620095e-13,1.5458141824382933e-13,1.4154070946783994e-13,1.2568875427795026e-13,1.0656645899135369e-13,8.82103578766702e-14,0.002768340448437367,0.004948311958223739,0.003723416988194541,0.004388785398855541,0.001848814717729333,5.63715945192308e-14,6.593093500094294e-14,7.700334257450933e-14,9.161239084136505e-14,1.0226945987488833e-13,1.1258448737506044e-13,1.2297148580022276e-13,1.3373533158396327e-13,1.442975409024447e-13,0.0
0.0,2.997085292514571e-8,2.97879713178119e-8,-2.9861816773564136e-8,2.995402118966295e-8,2.997067281747826e-8,-1.875155139399167e-9,-1.2652190824100467e-12,1.8747101315189125e-9,-2.9970672880823195e-8,-2.9943838128030083e-8,2.9680302601017335e-8,-2.9399643397314774e-8,2.9226446328343557e-8,-2.89681912544651e-8,2.8718440568268638e-8,-2.8508625515070578e-8,2.8370169660474284e-8,-2.8295614453867107e-8,2.8274004540992972e-8,-2.828393357692755e-8,2.8312762951634585e-8,-2.8345145316686686e-8,2.8373049862520446e-8,-2.8388391623491984e-8,0.013339892663793023,0.004855829302355065,0.0001387980866184506,-0.0047705088064621155,-0.013563998534953546,2.965084478515379e-9,-2.8978239753625204e-9,2.7590477030481585e-9,-2.536034389434204e-9,2.199365883364338e-9,-1.6874140342461712e-9,8.555174630400364e-10,5.570992361954523e-10,-2.997068826722743e-8,0.0
